12:17 AM - 24 Nov 2015|skipping stones lake DATE it's beautiful evening ME whispering take fucking lake|2.5K|4.7K
1:30 PM - 1 Dec 2015|Man caught turtles pants expected plead guilty Ann Arbor http bit ly 1ODozvt pic twitter com QIp9nXpc5J|12|11
12:32 PM - 25 Nov 2015|College apparel around pic twitter com WE9VoVJSoj|2|8
