3:26 PM - 2 Dec 2015|There's calendar week without mass shooting President Obama's 2nd term|2.4K|3.6K
12:20 PM - 9 Dec 2015|What's sad true pic twitter com RgU3387DMg|1|4
6:18 PM - 9 Dec 2015|@andypanda1798 ya go fag pic twitter com HCOZkyl5gI|1|1
5:51 PM - 9 Dec 2015|I miss non bloods real bad|1|2
5:42 PM - 5 Dec 2015|Rutgers today pic twitter com PaWILMkYzP|2|7
8:09 PM - 4 Dec 2015|Secret In Their Eyes amazing movie favor go see|1|1
4:34 PM - 4 Dec 2015|I'm leaving behind 2015 things people life make unhappy|1.5K|2.7K
