7:31 PM - 10 Dec 2015|When realize you're stress free next month http vine co v i7UZvgrnYIM|6.4K|7.1K
8:33 AM - 10 Dec 2015|This portrait White House This garden White House My rock White House Barack White House #FlotusBars pic twitter com TrdrDMARlP|878|822
6:30 PM - 8 Dec 2015|Almost ready #VSFashionShow tonight pic twitter com nkSgS7Be0B|17K|39K
6:16 PM - 2 Dec 2015|It's wonderful time year #missingmechanics pic twitter com 8lCjpSIkiE|3|14
