9:00 PM - 22 Nov 2015|My brothers always look This bald dude pic twitter com zHn3FsUsoI|1.2K|2.5K
7:51 PM - 22 Nov 2015|Music ended Reigns crying in-ring title-less Crowd still booed|300|550
7:44 PM - 22 Nov 2015|Sheamus won title I'm happy it's Reigns|181|331
4:30 PM - 22 Nov 2015|sliding ur dms like pic twitter com rDZm4A8DcJ|120|110
