6:10 PM - 7 Dec 2015|Mr Trump magician For next trick I alienate one billion people|505|1.1K
7:24 PM - 28 Nov 2015|Saturday night perfect writers people plans|135|443
7:50 PM - 3 Dec 2015|#TheWiz brought best #BlackTwitter http bzfd 1XLUcFs pic twitter com GUwasiBjGZ|587|1.2K
10:22 PM - 3 Dec 2015|The revelation all-powerful Wiz secretly unkempt loser legit metaphor life #TheWizLive|1.5K|6.9K
6:06 PM - 30 Nov 2015|This kakapo The word kakapo birdspeak translates ill prepared parrot English #learningwithlola pic twitter com MSvKWMdjEU|211|681
