9:12 PM - 8 Dec 2015|honestly don't know gay people still hated there's better things like hate donald trump|6.2K|10K
6:58 PM - 6 Dec 2015|@twaimz imagine randomly waking 3 morning seeing OMGMSJHDS|1.8K|6.3K
10:52 AM - 6 Dec 2015|GOOD MORNING LITTE PIGLETS Happy Sunday Heading get breakfast finishing today's video first WHO'S EXCITED|731|4.4K
