2:58 PM - 25 Nov 2015|lmao made presentation bitches ain shit pic twitter com 9oaRjIqqZR|3.5K|8.3K
4:01 PM - 14 Nov 2015|One day Iowa State get nice things And later day we'll take nice things away|500|697
6:19 AM - 18 Nov 2015|Kansas losing makes us want put sweatpants eat feelings|22|68
