2:47 PM - 8 Dec 2015|This made day http stats stackexchange com questions 185507 what-happens-if-the-explanatory-and-response-variables-are-sorted-independently|58|65
4:28 PM - 7 Dec 2015|- - - - - IN THE NAME OF GOD THE GRACIOUS AND MERCIFUL BEGIN PGP PUBLIC KEY BLOCK - - - - -|76|118
2:04 PM - 1 Dec 2015|OK SO I VE INSTALLED DOCKER ARE WE DEVOPS YET OR DO I NEED TO INSTALL CONTAINERS TOO ALSO WHERE DO I DOUBLE CLICK TO MAKE IT CLOUD AWARE|1.2K|1K
8:07 PM - 5 Dec 2015|demolition man greatest movie ever made|2|38
5:12 PM - 1 Dec 2015|I think I finally figured explain #d3js selections pic twitter com f23JEJkbWm|62|96
8:49 AM - 26 Nov 2015|And laugh legitimately There's mathematician different kind mathematician statistician pic twitter com XHmT66W4pY|374|776
6:34 AM - 25 Nov 2015|Bears per 1000 square km Finland visualized bears #dataviz http makijarvi tumblr com pic twitter com Ff6ZlZA9EI|1.2K|1K
9:59 AM - 21 Nov 2015|Tinder swipe left read swipe right reread tells good story it's book you're reading book|2.4K|3K
6:10 AM - 18 Nov 2015|What happening #csections America Get facts new report predictor http ami UglCU pic twitter com 2As906mkUG|20|13
8:56 AM - 16 Nov 2015|Beer Giant buy SD #craftbeer maker 1billion http www nbcsandiego com entertainment the-scene Ballast-Point-San-Diego-Sold-Billion-350611031 html pic twitter com i8ENadB4lU|16|8
