9:17 PM - 24 Nov 2015|Here's trailer looking #CaptainAmericaCivilWar https amp twimg com v 3c1c85a0-6603-43b4-b9af-b55725c9ba52|64K|55K
12:59 PM - 20 Nov 2015|remember u watch luke @JessicaJones go somewhere else 'world' gun slinging raccoon best friends talking tree|189|246
1:33 PM - 17 Nov 2015|BETTER CALL SAUL BINGO S1 EP7 2015 DoP Arthur Albert Dir Larysa Kondracki http goo gl 0NjdXD pic twitter com WbYOBwxqiG|222|370
