1:42 PM - 27 Nov 2015|Maybe answer pic twitter com S2ALiHIJiT|2K|3.3K
12:23 PM - 8 Dec 2015|I believe fairies myths dragons It exists even it's mind RIP #JohnLennon|1.1K|2.6K
4:43 PM - 30 Nov 2015|Sometimes I sit @ popular kids table I'm popular kid #EfHighschool https twitter com therealplaut status 671486248255692800|2|19
7:51 AM - 30 Nov 2015|All things considered yesterday optimal result 49ers fans Team's competitive improves draft position yell refs|26|67
3:53 PM - 29 Nov 2015|Here's bullshit roughing penalty Quinton Dial's sack Carson Palmer #49ers http www ninersnation com 2015 11 29 9815938 check-out-this-bs-roughing-penalty-on-quinton-dials-sack-of-carson utm_campaign ninersnation utm_content chorus utm_medium social utm_source twitter pic twitter com SfXyrZzOVy|149|99
3:46 PM - 29 Nov 2015|Roughing passer text book hit This poorest officiated game season That perfect #49ers|89|115
7:31 PM - 22 Nov 2015|#GSW Record 15-0 Win Loss TBD #LetsGoWarriors|486|548
7:55 AM - 18 Nov 2015|The BasedGod curse real rockets coach punished signing j harden bobble heads Lil B cooking dance - Lil B|4.9K|3.7K
