11:52 PM - 8 Dec 2015|@GamingEthos Wiener Wednesday lmao #Ls pic twitter com 6gZZHttxWd|4|3
9:47 PM - 5 Dec 2015|Bosco game lit pic twitter com 1LJVga0LJH|1K|995
3:30 PM - 3 Dec 2015|LISTEN TO THIS FOR YA BOYS BIRTHDAY RT IF IT'S NOT TRASH PLS https soundcloud com netraps network-ft-anonymuz|36|26
9:16 PM - 24 Nov 2015|Heed drums war #CaptainAmericaCivilWar https amp twimg com v c81944e2-0d74-4347-80e5-0dba2728f0d2|32K|29K
10:52 AM - 18 Nov 2015|8 days till drop pic twitter com xUgDCTn0UL|4.8K|3.3K
