11:55 AM - 9 Dec 2015||1.4K|1.4K
6:09 PM - 22 Nov 2015|Kinda want start yoga But I absolutely idea start lol|5|2
6:42 AM - 19 Nov 2015|happy 21st bday @DmanDanos|2|0
12:39 PM - 16 Nov 2015|Lying never okay I don't care small lie|2|1
7:42 PM - 14 Nov 2015|I'm beyond sick people saying @BernieSanders chance winning|3|5
5:48 PM - 14 Nov 2015|lol accuracy https vine co v e0j1n2mTAi0|3|4
11:03 AM - 14 Nov 2015|I'm shrink|17|33
9:58 AM - 14 Nov 2015|boyfriend makes feel like beautiful magnificent girl entire universe hold shit|3|7
1:05 AM - 14 Nov 2015|Idec point|2|0
12:12 AM - 14 Nov 2015|Imagine religion|4|7
