11:03 AM - 29 Nov 2015|Don't waste time revenge The people hurt eventually face karma|835|1.5K
11:02 PM - 26 Nov 2015|Being happy doesn't mean everything perfect It means you've decided look beyond imperfections|1.1K|2.1K
9:01 PM - 24 Nov 2015|Sometimes can't explain feel person|1.1K|2.1K
