7:08 PM - 10 Dec 2015|Let's make America great pic twitter com y8hz1Pvz9V|75K|15K
9:14 AM - 25 Nov 2015|I would say school hell least hell warm|45|95
4:26 PM - 19 Nov 2015|I don't even know emotion I'm feeling I feel like I need Sue Ardington's help|8|13
1:30 PM - 19 Nov 2015|Justin bieber fucking gross I hate liking|4|8
7:56 AM - 18 Nov 2015|So government could get kitchen rearrange things could certainly party Syrians|4|7
9:31 PM - 17 Nov 2015|There need wear confederate flag clothing school|2|14
9:29 AM - 14 Nov 2015|Jesus wants go back bed|1|3
