4:31 PM - 10 Dec 2015|@skinfiktion concept art micaela3|1|0
2:09 PM - 6 Dec 2015|hanukkah DENY NOTHING @nathanfielder pic twitter com S02ZIzOy2u|2.2K|8.4K
5:20 PM - 5 Dec 2015|tfw finish reading Raymond Carver's short story Cathedral sit back relish power literature pic twitter com bgoCKqOglQ|16|38
6:23 PM - 28 Nov 2015|I didn't anything 2day pic twitter com FpDcVSfSkz|504|1.4K
5:43 PM - 27 Nov 2015|kids iphones day stared pages words hallucinated imagery pass time birth death|15|25
4:00 PM - 16 Nov 2015|mom feels mistold story internet radio show here's real scoop said I hate Jews 1986 pic twitter com jw1EJiID9x|2.2K|8.3K
