4:10 AM - 10 Dec 2015|I'm chubby narcissist|20|63
1:33 PM - 3 Dec 2015|I know first date going last date depending person speaks cab drivers servers bartenders|72|235
6:31 AM - 28 Nov 2015|Put surveillance Close churches Profile Drone weddings Deport leaders https twitter com NBCNews status 613722169353334784|3.1K|2.7K
7:04 PM - 26 Nov 2015|watching family watch football pic twitter com krPB9GF1mF|178|686
