3:50 PM - 24 Nov 2015|spirit animal winter deciduous tree bc lose everythig givs energy kids often look wonder im dead|1.2K|1.9K
7:55 PM - 18 Nov 2015|Have u ever walked wrong direction kept walking cuz ur embarrassed married woman u dont actually love|203|609
2:03 AM - 14 Nov 2015|Mimosas 3 @kaddypawlicker @torriwilke @danahmon|2|4
