2:12 PM - 2 Dec 2015|Your thoughts steps take stop carnage Your prayers forgiveness nothing -|23K|22K
8:38 PM - 2 Dec 2015|Giving beef reduce carbon footprint cars http www theguardian com environment 2014 jul 21 giving-up-beef-reduce-carbon-footprint-more-than-cars --- cool information|376|703
3:56 PM - 2 Dec 2015|If thoughts prayers enough wouldn't 352 mass shootings year https twitter com RepEdRoyce status 672193328973238272|1.5K|1.5K
7:17 PM - 21 Nov 2015|zoned class friend yo okay yeah thinking stuff brain reality pic twitter com bO8EaAjm7M|14K|16K
1:40 PM - 27 Nov 2015|I'm pro-life I'm gonna kill people I don't agree abortion living amongst demons #PlannedParenthoodShooting|1.4K|1.5K
6:28 AM - 25 Nov 2015|With guns kill terrorists With education kill terrorism @Malala|1.3K|1.9K
6:51 PM - 22 Nov 2015|I'm telling bath bombs next level shit pic twitter com mjpv7Zq3Ad|95|99
6:53 PM - 18 Nov 2015|One time someone hugging fell black hole heart|44|93
12:33 AM - 15 Nov 2015|We're options I'll use jetpack I said strapping jetpack ignoring many non-jetpack options still available|2.3K|5K
