11:45 AM - 9 Dec 2015|And others haven't announced yet https twitter com sswanso status 674665345420922880|123|358
3:11 PM - 7 Dec 2015|Donald Trump basically YouTube comment section running president|34K|37K
9:56 PM - 7 Dec 2015|Shut fuck Donny You're element https twitter com realdonaldtrump status 674066482322649089|759|2.8K
12:10 PM - 16 Nov 2015|Housing Prices Spike As Tech Employee Takes Stroll Through Neighborhood http onion com 1ROSpOb pic twitter com XpeHysI5Pe|307|535
