6:00 AM - 11 Dec 2015|The First Official Trailer X-Men Apocalypse - https www youtube com watch v COvnHv42T-A|1.9K|1.1K
8:43 PM - 8 Dec 2015|lemme get solid RT gay followers want sex top bottom|24|61
10:04 AM - 7 Dec 2015|I talked @tinydinosaurs scuba diving writing drafts https itunes apple com ca podcast trying-hard-with-thenatewolf id1054299442 http www dailydangle ca 2015 12 tryhard6 pic twitter com SXfDXRb4nI|5|16
7:33 PM - 1 Dec 2015|Mulder Scully January 2016 #TheXFiles pic twitter com DYBHiaAfGC|2.2K|2.8K
10:54 PM - 30 Nov 2015|Borderline Podcast Special Presentation The Lady Broseph Podcast Spectacular http www dailydangle ca 2015 11 spectacular pic twitter com CDj7z9DonA|6|19
10:20 AM - 30 Nov 2015|This week I talk @primawesome struggling depression https itunes apple com ca podcast trying-hard-with-thenatewolf id1054299442 http www dailydangle ca 2015 11 episode-5 pic twitter com dNDBQMmOeX|16|69
12:09 PM - 28 Nov 2015|Episode 4 Nate talks @DALIAMALEK get PhD https itunes apple com ca podcast trying-hard-with-thenatewolf id1054299442 http www dailydangle ca 2015 11 tryhard4 pic twitter com yeuo8bKyu6|5|15
2:16 AM - 27 Nov 2015|France remembers victims killed #ParisAttacks memorial service http bbc 1Q21La7 http snpy tv 1lNK4jE|253|217
2:18 PM - 18 Nov 2015|I eat fetuses|1|1
10:52 AM - 19 Nov 2015|KID May I excused DAD No K I'm hungry D Sit K Being stranded desert island sucks D Shut eat sister|143|297
10:29 AM - 16 Nov 2015|Episode 3 Nate talks @PostCultRev Mr Rogers Ed Wood http www dailydangle ca 2015 11 trying-hard-ep-3 https itunes apple com ca podcast trying-hard-with-thenatewolf id1054299442 pic twitter com qevP8rKzDg|8|16
9:05 PM - 14 Nov 2015|Give @disclosure @lordemusic everyone #SNL pic twitter com lc6r14P0qb|203|583
