1:54 PM - 2 Dec 2015|Pray grace God help us|4.3K|13K
9:54 PM - 20 Nov 2015|@CassaundraSmith Black plaque pic twitter com UqxtqQi96C|1|0
4:33 AM - 16 Nov 2015|I feel weak today I felt much stronger yesterday Like Benjamin Button reverse|550|882
