10:20 AM - 5 Dec 2015|Brighten someone's day today|1K|2.7K
10:30 PM - 2 Dec 2015|I Hella gotta piss where's bathroom|3|5
6:32 PM - 27 Nov 2015|Swamps pretty much crocodiles - @TristorTheGreat|1|6
