6:23 AM - 8 Dec 2015|If homosexuality insults religion get better religion Or preferably wean security blanket religion altogether|1.7K|2.8K
11:50 PM - 4 Dec 2015|Iraq orders Turkey 'immediately' withdraw troops sent across border http trib al 8L5qv5n|146|69
10:53 AM - 4 Dec 2015|Remember CNN suspended reporter saying refugees people|18|21
1:31 AM - 4 Dec 2015|Living rabbit hutch future housing http trib al fd9pO5M|14|31
9:59 PM - 3 Dec 2015|O lord sh funny y'all pic twitter com LHq7XakoPS|543|649
