8:22 AM - 9 Dec 2015|- @TIME releases gif Trump dodging bald eagle photo shot - pic twitter com vhp8KzK4T3|2.3K|2.5K
7:36 PM - 8 Dec 2015|Find woman better looking Gigi Hadid I'll vote Hillary|2|6
6:37 PM - 8 Dec 2015|GS gonna beat CLE Christmas Bron gonna keep PS4 bought JR closet JR 25-10 game|114|100
10:55 AM - 8 Dec 2015|Steph's gonna go 53 win it's gonna time start 82-0 talk https twitter com theshrillest status 674300762197913600|38|26
5:41 AM - 8 Dec 2015|If game season ended 75 seconds left regulation Giants would 10-2 But 5-7 http nyti ms 1IQNcAm|756|381
8:30 PM - 7 Dec 2015|Dallas taken knee one ended game field goal It's like NFL teams idea win|78|175
8:26 PM - 7 Dec 2015|LOL DeSean Jackson got crowd hyped THIS pic twitter com wQ9aUiU4GZ|909|698
1:41 PM - 7 Dec 2015|#Sixers Owner Josh Harris announces new addition organization pic twitter com IBufHEc9F4|58|32
11:42 AM - 7 Dec 2015|Hey @stoolpresidente thx new office Also enjoy private bathroom employees forbidden touch pic twitter com rBkN09rMDi|20|332
5:22 PM - 6 Dec 2015|Obama should've ended speech dab|539|838
9:00 PM - 5 Dec 2015|Hey @Cardinals know classiest conference football https vine co v i7AlQOVJI7H|28|131
8:49 PM - 5 Dec 2015|22 plays 9 04 minutes can't get B1G|156|384
8:43 PM - 5 Dec 2015|WOW intense fuck|20|130
1:33 PM - 3 Dec 2015|NEW SIXERS 2016-17 LINEUP pic twitter com kBXMH0gSEm|241|261
6:56 AM - 2 Dec 2015|least didn't jump ship https twitter com axgilbert status 671912016412569600|2|11
8:58 PM - 29 Nov 2015|Gronkowski Injured New England loses perfect season OT New Patriots logo pic twitter com 68DLIzI9hA|1.5K|880
12:10 PM - 26 Nov 2015|Come get plate AND DONT RUN #ThanksgivingWithBlackFamilies http vine co v eerXWLwJWpJ|2K|1.8K
5:50 PM - 26 Nov 2015|I enjoy hell CAR team Cam pissing everyone Norman talking shit https twitter com ScrausScraus status 670056709382135808|63|81
4:33 PM - 26 Nov 2015|When say couldn't eat third piece pie With ice cream https vine co v iam0M3jmQIP|54|100
11:03 AM - 26 Nov 2015|This game Chip Kelly's 3-hour resignation letter|2K|2.4K
8:56 AM - 25 Nov 2015|THE DAY BEFORE THANKSGIVING MUST BE A 18 SET CHEST ONSLAUGHT LIKE AN ABSOLUTE SAVAGE #MMMPPPOWWW|8|23
7:59 PM - 24 Nov 2015|Can picture trend Twitter Because I feel like trending end night pic twitter com OhLbzwLxKd|21|38
11:14 AM - 22 Nov 2015|They call Ryan Fitzpatrick 'Fitzmagic' Well made look like Fitzillusion today - JJ Watt game probably|14|41
10:07 PM - 19 Nov 2015|Blake Griffin dribbles like ball stole lady #HARD|3|4
7:59 PM - 16 Nov 2015|Tried warn Bengal fans Dalton flew close sun shave head|45|241
4:36 PM - 15 Nov 2015|Now watch Giants run 2 yards short aka first play horrendous|17|64
10:03 AM - 14 Nov 2015|Army takes field Chills https twitter com Gkatt_17 status 665576305082179586 #france pic twitter com 7ETaS6Xj2P|500|647
