10:54 AM - 6 Dec 2015|Arbys arbys arbys We made cows And die get ready To cram bowels Have Hanukkah Enjoy arbys|1.2K|2.1K
6:31 PM - 26 Nov 2015|Adam Sandler hasn't relevant since Forrest Gump|1|1
7:07 AM - 25 Nov 2015|Just wow #KUmccollum comes 20 seconds pic twitter com ysR1LqUs0p|352|328
12:37 PM - 21 Nov 2015|NASA gets one half one penny tax dollar pic twitter com 4W1NktVk9t|140|189
2:11 PM - 20 Nov 2015|Brownback desperately searching Kansans improve 26 approval Rating pic twitter com 67roIjfUQ3|31|57
11:45 AM - 17 Nov 2015|Tired trainer Become Pokemon Follow @nuggetbridge RT chance win Super Mystery Dungeon #NBspr pic twitter com RdQgmoJdJK|362|90
