12:02 PM - 8 Dec 2015|Lmao babies face https vine co v ezYjitwnuXK|1.8K|3.2K
8:10 AM - 23 Nov 2015|People reject refugees carry starving family across world come back tell us feel things|57|182
5:42 PM - 21 Nov 2015|Honeydew Donald Trump melons|77|241
5:51 PM - 18 Nov 2015|When Obama comes sick beat pic twitter com MKYskuCpQQ|6.9K|11K
6:11 PM - 16 Nov 2015|The refugee crisis born Assad ISIS air strikes A truly great nation would never close it's doors people need RS|40|84
