5:19 PM - 3 Dec 2015|Here every senator voted expanding background checks following year's 355th mass shooting pic twitter com Hd5ipbR5HN|14K|7.5K
3:34 PM - 30 Nov 2015|I wish I could communicate Shakespearean language|1|2
11:26 AM - 14 Nov 2015|Just case actually secret camera planted room I apologize whoever watches tapes dancing|1|0
