5:41 PM - 28 Nov 2015|I JUST MET BEANS FROM EVEN STEVENS pic twitter com XfyYH4BN0i|8K|24K
8:23 PM - 1 Dec 2015|dear god tomorrow i'm seeing one direction please give ability teleportation teleport stage touch asses|6.4K|15K
10:45 PM - 2 Dec 2015|And nothing soap haha|2.7K|6.8K
10:44 PM - 2 Dec 2015|Guys I wrote really sick song In tub|4K|9.2K
