9:45 AM - 1 Dec 2015|Written @DanWilbur http ly MPwjs5O pic twitter com DuAHqsu0AS|37|76
12:11 PM - 30 Nov 2015|Tomorrow December You've wasted entire year|3.6K|4.6K
8:30 AM - 22 Nov 2015|Paleontologists Determine Dinosaurs Were Killed By Someone They Trusted http onion com 1N1IErz pic twitter com 0p1DzmpDmg|941|1.4K
