4:39 PM - 10 Dec 2015|The decision abortion must remain decision woman family physician make government|8.4K|15K
4:50 PM - 3 Dec 2015|By balancing temperature humidity lighting Dutch artist created cloud middle room pic twitter com Np51xb0LjF|400|610
1:08 PM - 2 Dec 2015|Mass shootings becoming almost-everyday occurrence country This sickening senseless gun violence must stop|24K|27K
7:54 AM - 15 Nov 2015|@MattMcGorry discussing HTGAWM Asher's privilege white male pic twitter com lQ5MfdXApA|454|892
