11:22 AM - 11 Dec 2015|DJ Khaled's snapchat like pic twitter com Pj3GUCbUjX|4.6K|4.8K
9:31 PM - 7 Dec 2015|Life doesn't get easier get stronger|498|299
3:48 PM - 12 Dec 2015|never let someone play w gf bf|21|3
3:13 PM - 12 Dec 2015|U smoking crack u think imma fight position ya life|2|0
2:07 PM - 12 Dec 2015|Follow @ThotBible_ dude speaking truth|2|3
10:11 PM - 28 Nov 2015|sex needed|100|65
10:53 PM - 11 Dec 2015|People fucking annoying|9|7
1:29 PM - 12 Dec 2015|really bad judgements people|3|5
