4:49 PM - 12 Dec 2015|mom pic twitter com 7ji8T1JIgE|10K|29K
4:37 PM - 12 Dec 2015|Taylor Swift Wants Trademark Year Her Birth http bit ly 1QDv434 pic twitter com tJopODchFv|31|63
4:45 PM - 12 Dec 2015|Selena Gomez Makes Minimalism Look SO Major http elle com 6018BThM8 pic twitter com MAu7TbDjXu|58|125
