8:09 AM - 5 Dec 2015|Christmas movies chill pic twitter com f03k1jQWJD|8.7K|10K
8:19 PM - 3 Dec 2015|real goals pic twitter com ISdZEHicJo|34|85
2:22 PM - 2 Dec 2015|I need sushi cuddles|4|1
9:18 PM - 30 Nov 2015|I wish someone would drive street throw stacks cash like Jesse Breaking Bad|3|5
5:28 AM - 19 Nov 2015|@AmandaMarsh1 What I foodie call|1|9
12:21 PM - 18 Nov 2015|You know what's attractive Respect Respecting others even they're respecting|37|93
