6:34 PM - 29 Nov 2015|I wish Carol She ain't afraid kill kid Ron exception #TheWalkingDead pic twitter com oxGUnEJF4U|154|211
6:46 PM - 29 Nov 2015|This episode unstable tower #TheWalkingDead pic twitter com KgTQQyIU2b|136|221
7:05 PM - 29 Nov 2015|Mom Mom Mom Mom Mommy Mommy Mommy Mommy Momma Momma Momma STFU KID #TheWalkingDead #TWD @WalkingDead_AMC pic twitter com 2wl0IYGa0C|267|437
7:13 PM - 22 Nov 2015|The Walking Dead Finally Revealed Glenn's Fate http eonli ne 1MwGXp5|108|252
7:09 AM - 16 Nov 2015|story life pic twitter com U5EN9lQcOg|5.8K|5.6K
