5:30 PM - 26 Nov 2015|fave blooper ever pic twitter com nv84aDnoNd|22K|32K
4:58 PM - 10 Dec 2015|Why spend Saturday night alone I could call phone pick make go along -Florida Georgia Line|385|694
9:50 AM - 3 Dec 2015|I gets excited new makeup|1|4
2:37 AM - 29 Nov 2015|If drink enough water morning feel happier sharper energetic throughout day|431|848
6:18 PM - 27 Nov 2015|I mean bother I couldn walk say hi -Sam Hunt|402|1K
9:59 PM - 25 Nov 2015|I wanna kiss parking lot moonlight kiss running red lights baby set mood right -Michael Ray|576|1.3K
8:05 AM - 19 Nov 2015|It little things life mean -Zac Brown Band|656|687
9:35 PM - 18 Nov 2015|doesn drink soda unhealthy drinks alcohol|894|1.8K
