1:23 PM - 12 Dec 2015|Why Finland might soon pay every citizen 850 per month http wapo st 1J2lxfD|147|142
1:30 PM - 12 Dec 2015|Hundreds babies mothers possibly exposed nurse tuberculosis Northern California hospital http apne ws 1I0Impo|117|49
1:35 PM - 12 Dec 2015|@Kristiturnquist's top TV shows 2015 http bit ly 1lQk7zD pic twitter com rAJN6Fvgj9|8|22
12:23 PM - 12 Dec 2015|FBI believes Cali shooters may dumped evidence lake @ANHQDC http fxn ws 1Npa23M pic twitter com GErUmyowBN|66|88
1:25 PM - 12 Dec 2015|Seeing Earth 250 miles gives new appreciation need take care #ParisAgreement pic twitter com mGPdUKRRi7|1.5K|2K
