4:40 PM - 10 Dec 2015|You cannot fathom extent boredom pic twitter com vXZCPEZcgb|1.9K|13K
11:42 AM - 12 Dec 2015|An important statistic internet usage Arguments GEO satellite internet lag obsolete @BenedictEvans https twitter com evankirstel status 675762397001474052|3|4
5:53 PM - 9 Dec 2015|@MiniLaddd well I've grinding 4 day since last week I would done time You'll get|49|541
