4:30 PM - 12 Dec 2015|Very fu king necessary http 9gag com gag a4Lem5v ref tp pic twitter com 9ebVmee4iZ|1.5K|2K
1:05 PM - 12 Dec 2015|When friend doesn't reply long time pic twitter com uxAMT8auyL|718|653
3:43 PM - 12 Dec 2015|When hoe want talk pic twitter com o3xYTS8SD9|6|5
