3:01 PM - 12 Dec 2015|Getting ready weekend like @JoshMcdermitt #TWD pic twitter com 8KuLfrorK4|619|2.4K
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
9:18 AM - 8 Dec 2015|Boris Johnson would avoid New York due risk meeting Donald Trump http www buzzfeed com sirajdatoo boris-johnson-would-avoid-new-york-due-to-risk-of-meeting-do# pxLZVD0VB pic twitter com 4u2KjNoiP4|1.8K|3.1K
1:03 PM - 7 Dec 2015|The newest #TWD fashion statement pic twitter com y5HoTkzMYn|1.9K|4.6K
9:22 PM - 25 Nov 2015|Jimmy What's going @WalkingDead_AMC week @steveyeun pic twitter com pktETc8do9|3.8K|7.2K
