6:08 AM - 10 Dec 2015|#BVY He must increase I must decrease John 3 30|195|653
7:10 AM - 11 Dec 2015|#BVY He must increase I must decrease John 3 30|173|643
4:27 PM - 11 Dec 2015|Passionately chasing You Lord #GratefulHeart|401|1.5K
3:38 PM - 12 Dec 2015|14 straight wins Navy defeats Army 21-17 Navy leads all-time series 60-49-7 pic twitter com 6sENwVnxe4|2.9K|3.9K
