5:51 AM - 9 Dec 2015|We came sea JFKennedy 1962 Back US politicians understood basic Biology|6.6K|14K
10:35 AM - 12 Dec 2015|Breaking News Nations approved landmark climate accord Paris http nyti ms 21XQ4XD|1K|718
5:18 AM - 12 Dec 2015|Seriously The clock starts #stopfundingfossils https twitter com adoukas status 675665042453434368|76|121
6:36 PM - 11 Dec 2015|Steve King's attack @KeithEllison kind bigotry must reject Keith life service represents best American values|509|1.3K
5:02 PM - 11 Dec 2015|The reason American people angry government addressing real problems impacting every day|2.4K|5.2K
9:21 AM - 12 Dec 2015|Who's excited #ArmyNavy game @Astro_Suni @Astro_Wheels https amp twimg com v 371238d6-4a11-4217-b644-8f63c6d458eb|96|156
9:00 AM - 12 Dec 2015|This Week's Top Story http onion com 21Xqq5m pic twitter com NTdHJ5RCwP|581|842
9:32 PM - 11 Dec 2015|Donald Trump incompetent thinks call Bill Gates close internet http www theverge com 2015 12 7 9869308 donald-trump-close-up-the-internet-bill-gates utm_campaign theverge utm_content chorus utm_medium social utm_source twitter pic twitter com 7XMNOPU7zG|209|188
1:27 AM - 12 Dec 2015|Mitch McConnell poised give Jon Stewart wants http politi co 1QBZ7s9 pic twitter com QrEP11kfL2|45|43
4:32 PM - 11 Dec 2015|Martin Shkreli provokes alarm plan increase price drug serious infectious disease http nyti ms 1QBPOs6|139|111
