6:05 AM - 9 Dec 2015|If 29 first time LIFETIME Time chosen woman person year|1.2K|1.4K
5:17 AM - 9 Dec 2015|Angela Merkel first woman win @TIME's Person Year 29 years http mash 1QvxAZ9 pic twitter com wSsLDjjlmD|497|382
5:00 AM - 4 Dec 2015|Here 12 successful women tech stories http aol 1UpgHng pic twitter com rubIAR1NH9|19|21
8:35 PM - 3 Dec 2015|8 areas PR pros focus 2016 http buff ly 1SAtYEu pic twitter com GnyybyTK9D|18|18
5:00 PM - 3 Dec 2015|12 Rules For Creating Great Thought Leadership And Content Marketing via @forbes http onforb es 1Qi7Z5Y #marketing #content|4|6
2:03 PM - 3 Dec 2015|Time-management tricks stay healthy holiday season #health #fitness via @globeandmail http dld bz ecMeM|1|1
7:35 AM - 20 Nov 2015|Want Dream Boss Great advice @drummleadership http ow ly TCYgz pic twitter com jjWNHjTowJ|5|4
9:49 AM - 19 Nov 2015|Influential people respond react http bit ly 1T1fu0U @talentsmarteq|47|56
12:38 AM - 19 Nov 2015|Great data visualization tools communicators marketers http buff ly 1kFG4kT pic twitter com F1EpKOgaBh|1|2
11:25 PM - 18 Nov 2015|Facebook testing Snapchat-like tool http buff ly 1Qv3VRc pic twitter com P4pHT9NXOQ|5|2
