9:50 AM - 10 Dec 2015|Voting isn't hard @SpeakerRyan Extend Zadroga Act #WorstResponders pic twitter com 1Wwm99IRWM|1.2K|997
2:24 PM - 10 Dec 2015|Pick autographed copy 9 9 Christmas Great gift baseball person Message details pic twitter com uDqzZipcNb|4|7
4:54 PM - 10 Dec 2015|MLB added defendant foul ball suit Note new netting recommendations likely wouldn't helped http www myajc com news news local foul-ball-litigation-turns-focus-to-mlb-steroid-us npfRF|3|1
5:42 PM - 9 Dec 2015|Higher #velo increases margin error If throw 90 miss spot get away often pic twitter com jId558ZIWf|5|3
7:45 AM - 9 Dec 2015|Orangutan reacts seeing magic trick pic twitter com EGUpTA19CL|14K|13K
3:39 PM - 8 Dec 2015|Want throw harder Try throw harder Intent plays huge role building velocity https www drivelinebaseball com 2013 10 25 role-intent-pitching pic twitter com VJt8JNnHgv|29|40
9:13 AM - 4 Dec 2015|I'd appreciate you'd check intv w Jon Stewart #ZadrogaAct healthcare 9 11 1st responders http www msnbc com the-briefing watch stewart-continues-fight-for-first-responders-579459139785|93|90
3:15 PM - 2 Dec 2015|Waynedale 4 AP D-V All-Ohioans N Strausbaugh 1st team End B Riebe 2nd team QB A Lewis A Spidell spec ment http www woostersports com 2015 12 02 associated-press-div-v-vi-all-ohio-football-teams|6|3
12:01 PM - 28 Nov 2015|SEC weakest decade yet one loss Bama get playoff Big Ten best it's decade OSU w better loss prob won't|5.7K|4.4K
9:18 AM - 28 Nov 2015|Statement @POTUS pic twitter com s00jNynWSQ|4|1
