10:40 AM - 4 Dec 2015|Some animals cute pic twitter com 2CqGWygz8p|3.4K|5.9K
7:50 PM - 12 Dec 2015|Invisible Scars The tongue bones strong enough break http www carrienet com invisible-scars #relationships pic twitter com l43rWZ76zD|11|9
7:51 PM - 12 Dec 2015|Chinese photos dissenting Gang Four edited 1976 pic twitter com ftO3DLjNmM|36|89
2:29 PM - 12 Dec 2015|But I don't see say love choice you're pretty powerless turning shit doesn't work|75|59
2:25 PM - 12 Dec 2015|Stress kills Did know reactions stress make seriously sick #stress #illnesses #health pic twitter com i6C301QCzj|79|71
1:46 PM - 12 Dec 2015|Do fear going forward slowly fear stand still - Chinese Proverb|3|2
2:22 PM - 12 Dec 2015|Never confuse right say believe right never disagreed ridiculed saying believe|1.1K|1.7K
2:01 PM - 12 Dec 2015|Do makes feels alive|19|36
2:13 PM - 12 Dec 2015|We learn - Aristotle|3|1
12:34 PM - 12 Dec 2015|15 things therapists actually want know #MHW2015 http bzfd 1Q7TIKP pic twitter com ahRDftvDRS|118|328
10:45 AM - 12 Dec 2015|If first don't succeed try stop figure wrong - Leo Rosten|24|17
11:25 PM - 11 Dec 2015|The old timer young gun rookie pic twitter com aNTA3vXAD5|1.4K|5.3K
11:46 AM - 11 Dec 2015|Hillary Clinton going @BroadCity How loud scream #YasQueen http vult re 1SSDT8p pic twitter com fhKleg4SWp|104|173
12:05 PM - 11 Dec 2015|Watch Ants Act Like Tiny Farmers With Aphid Livestock http bit ly 1Qjs1yp pic twitter com zSS4vygkj0|9|14
7:51 AM - 9 Dec 2015|Stabbing incident tube station - mass media outrage Huge muslim peace march London - ignored media http www mirror co uk news uk-news hundreds-muslims-marching-against-terrorism-6977099#ICID sharebar_twitter|449|272
11:48 AM - 11 Dec 2015|Facts convince human body actually disgusting http wcfacts info 1NNArYh pic twitter com IMXtj3DYbU|4|18
11:00 PM - 8 Dec 2015|Cynophile- n dog lover pic twitter com 0VQi2j9nk1|1.4K|2.1K
9:00 PM - 8 Dec 2015|Ultramarine n - love brilliant deep blue colour pic twitter com mpRKW26yzS|1.1K|1.7K
3:15 PM - 9 Dec 2015|This Olympic Swimmer Ryan Lochte's 10 000 calorie dinner looks like pic twitter com XztlK72yFG|1.3K|3K
7:57 AM - 11 Dec 2015|The first trailer #XMenApocalypse damn good http bzfd 1Q7pyaD pic twitter com YbYRo4IwMy|473|617
10:47 PM - 10 Dec 2015|Remember pic twitter com 6lL6oZMGMy|14|27
11:15 AM - 10 Dec 2015|@VICE talked prison inmates gun control mass shootings They offered unique perspective http bit ly 1QhA3rD|19|14
11:11 AM - 10 Dec 2015|I really bad period cramps ive revealed emotions basically everyone I know fear abandonment KICKIN right bye|58|520
8:00 AM - 4 Dec 2015|Here's DIY eggcellent breakfast toast pic twitter com QzmVanWqh1|938|1.6K
2:00 PM - 2 Dec 2015|Nice pic twitter com lrasuncOQN|2.3K|4.9K
11:09 AM - 10 Dec 2015|ICYMI Amy Poehler plays game 'Truth Or Truth' @JimmyFallon http bit ly 1HX5Hbn pic twitter com rZPoNRfoqt|35|135
9:42 AM - 10 Dec 2015|damn good song let play 86 times hour I hate|3|5
9:22 AM - 10 Dec 2015|Why bananas might go extinct Again http diply com what-the-facts article why-banana-extinct-help-again-disappearing pic twitter com 9r4Drx9SOz|35|78
12:37 PM - 9 Dec 2015|Sometimes music need make feel better|1.5K|1.1K
9:32 AM - 10 Dec 2015|Tony Hawk skates horizontal loop sets record http uberfactsposts co 1252859-15648583|79|238
9:32 AM - 10 Dec 2015|Spoke Jennifer Jason Leigh really interesting things say QT Kurt Russell H8ful http www vulture com 2015 12 jennifer-jason-leigh-hateful-eight-quentin-tarantino html mid twitter_vulture|6|14
9:34 AM - 10 Dec 2015|A real chef making fancy #MarijuanaEdibles http www latimes com food dailydish la-dd-chef-marijuana-edibles-20151209-story html @Jenn_Harris_ via @PopboardzTaste pic twitter com aFIIEnZgm2|2|1
1:07 PM - 4 Dec 2015|There always good comes difficulties lives - Ann Rheumatoid Arthritis patient https amp twimg com v f430e3f6-1690-4d50-bcaa-c48cb1e8371b|3|7
3:06 PM - 9 Dec 2015|IVF Puppies First Litter Born In Vitro Fertilization http oak ctx ly r 42xbm pic twitter com AltUzH6XSg|4|11
4:02 AM - 10 Dec 2015|#You Ain No American Bro via @nytimes http www nytimes com 2015 12 09 opinion you-aint-no-american-bro html smid nytcore-ipad-share smprod nytcore-ipad|169|520
5:39 AM - 10 Dec 2015|I know I'm going I know truth I don't want I'm free I want - Muhammad Ali|1|1
