11:53 AM - 25 Nov 2015|Drake babysitting duty sits niece watching Frozen A lump appears throat 'Let It Go' comes I'm trying Elsa|1.2K|1.8K
11:54 AM - 6 Dec 2015|I heard cry onto Drake's CDs you'll unlock bonus tracks|812|1.3K
8:30 PM - 6 Dec 2015|Actual footage life http vine co v iWVKrmYevgJ|781|911
1:01 PM - 10 Dec 2015|HAVE U EVER WANTED TO DM AND CREATE A FRIENDSHIP WITH SOMEONE WHO SEEMS COOL BUT ITS TOO WEIRD TO START A FRIENDSHIP THROUGH DMS|125|455
8:30 PM - 10 Dec 2015|straight boys even surviving pic twitter com vFFk6Zo3jy|299|662
10:09 AM - 11 Dec 2015|hate accidentally pick bit dead skin lip stop ve peeled entire face|680|1.9K
