2:24 PM - 13 Jun 2014|@sonysix ur pre post match show sucks Get rid of chettri 
5:59 AM - 25 May 2014|Did you know about these 13 #startups who are solving the last mile problems in India http your st 1masK2g #socent 
7:46 AM - 25 May 2014|Quikr app is on no 2 at the AppStore Feels good to see all the hard work starting to show results pic twitter com st0ymNmea0 
