10:54 AM - 8 Dec 2015|There high-speed Internet moon 19 MBPS pic twitter com 7uQzlar6jA|40|124
8:16 PM - 19 Nov 2015|Life weird First wanna grow wanna kid|760|711
8:47 AM - 15 Nov 2015|Adel Tormos The name remembered http twitter com WORIDSTARHIPH0P status 665745958337024000 photo 1pic twitter com UuwmX3uB93|1.2K|1.8K
