6:48 PM - 4 Nov 2015|Love watching @lisaling on CNN taking part in the dance culture - I need to take her out and show her what Ultra is like 
6:26 PM - 3 Nov 2015|The view from our room- I'll take it @ The Cosmopolitan of Las Vegas https instagram com p 9pWa5ygSR6 
4:05 PM - 3 Nov 2015|Gorgeous November colors #HappyNovember pic twitter com 3q35wdMDei 
11:52 AM - 3 Nov 2015|Travel Tip - How to Never Lose Your Luggage http ow ly UcIyF #TravelTuesday @how2travelers pic twitter com oGTAtk8ypB 
4:53 PM - 2 Nov 2015|There's an insane rainbow going on in LA pic twitter com VDo9Q8gqxS 
9:43 PM - 1 Nov 2015|How I feel after a weekend in Vegas #dayofthedead #selfiesunday @ The Cosmopolitan of Las Vegas https instagram com p 9kjUUmASSU 
3:55 AM - 1 Nov 2015|It's 4am and I'm retweeting @DalaiLama quotes-- that's what Vegas will do to you 
3:30 AM - 8 Sep 2015|It's unrealistic to think that the future of humanity can be achieved through prayer or good wishes alone what we need is to take action 
8:12 PM - 31 Oct 2015|Happy Halloween from the Disney Princesses #SquadGoals #Sinderella @ Las Vegas Strip https instagram com p 9htUJeASRo 
7:33 PM - 31 Oct 2015|Happy Halloween From Sinderella pic twitter com 5sS6ON7ke3 
7:49 PM - 30 Oct 2015|Beware Vegas-- I hear a vampire is on the loose https instagram com p 9fFc1JgSaa pic twitter com 6y7Lr3RTbF 
5:38 PM - 30 Oct 2015|Big congrats to @arminvanbuuren on the release of his new album #Embrace - it's on repeat here in Vegas #AnotherYou 
12:26 PM - 30 Oct 2015|So this just happened #whathappensinvegas @polefitnesslv pic twitter com MT2ImcmnDk 
5:45 PM - 29 Oct 2015|How I feel about this weekend #IamSoExcited #ThrowbackThursday pic twitter com k7GO582quN 
12:02 PM - 28 Oct 2015|Definitely avoiding these terrifying destinations - 6 Most Haunted Places in America http ow ly TXOY3 @HuffPost #Travel #Halloween 
12:01 PM - 28 Oct 2015|A10 There's nothing like the sushi at Tsukiji Fish Market in Tokyo @TripAdvisor #TravelToTaste pic twitter com SuzKiREZgo 
