9:57 AM - 2 Jan 2012|@Brookelynbeats so wats your new year resolution 
8:11 AM - 2 Jan 2012|@Brookelynbeats happy new year dear 
4:14 AM - 2 Jan 2012|@KieranStrange happy new year 
11:56 PM - 31 Dec 2011|@KieranStrange Happy new year 
9:45 AM - 31 Dec 2011|Electricity is in the air The vibe is so crazy already in rio Cariocas get ready The biggest show of my life tonight 2 million people 
9:45 AM - 31 Dec 2011|Its the same midnight as everyday But still special Coz of some man made dates 
10:59 AM - 30 Dec 2011|I'm partying in India for New Years Eve and Vages on New Years Day This year we celebrate for being survivors 2012 hard year 
11:00 AM - 30 Dec 2011|Deck the halls with boughs of holly It's the season to be jolly and be thankful for all that we have 
10:13 AM - 30 Dec 2011|Offer letter aa gaya now i am an Infoscian officially 
10:47 AM - 30 Dec 2011|My this year was full off up and max down Guess Vl be better next year 
10:28 AM - 30 Dec 2011|RETWEET if you want to meet Avril in 2012 #2012YearOfAvril 
7:46 AM - 29 Dec 2011|@bananighosh miss you aunti Miss everyone out in riverside 
3:11 PM - 27 Dec 2011|Only two kinds of people want things to stay the same the scared and the dead 
6:45 PM - 27 Dec 2011|@KieranStrange you remember me 
11:00 AM - 27 Dec 2011|What's your favorite MARS memory of the year #MARSmemories 
9:26 AM - 27 Dec 2011|#ThingsThatMakeMeSmile Smile on the faces of people whom I love the most 
9:08 AM - 27 Dec 2011|@yelyahwilliams happy bday dear 
1:21 AM - 27 Dec 2011|@KieranStrange you are my bff 
10:26 PM - 6 Dec 2011|@iansomerhalder not dat lucky 
12:05 PM - 6 Dec 2011|Suddenly I knew that I loved you It was like a flash of lightning like a clap of thunder in me 
12:01 PM - 6 Dec 2011|Maybe I don't know that much but I know this much is true I was blessed because I was loved by you 
11:57 AM - 6 Dec 2011|There are people around the world - different faces different names but there's one true emotion that reminds me we're the same 
11:52 AM - 6 Dec 2011|I am back did ne1 missed me 
8:21 PM - 4 Nov 2011|@KieranStrange awesome picture 
8:20 PM - 4 Nov 2011|@KieranStrange awesome pic 
7:18 PM - 13 Oct 2011|@KieranStrange how much 
11:15 AM - 13 Oct 2011|@KieranStrange hi did you missed me 
11:30 AM - 26 Sep 2011|@AvrilLavigne Many Many Happy Returns Of The Day Happy Birthday May God Bless You Love You A Lot With Love J nTu Xo Xo 
1:37 AM - 5 Sep 2011|RETWEET if you reallllllllllllllllly want @AvrilLavigne to keep #EverybodyHurts on the setlist for her European concerts 
1:57 AM - 5 Sep 2011|@avril_bandaids Send #WELOVEAVRILLAVIGNE to 5 nice ppl if you get 5 back you're amazing 
11:12 PM - 4 Sep 2011|@Brookelynbeats c really looks like your twin 
12:21 AM - 30 Aug 2011|@KieranStrange draw wat 
7:28 PM - 27 Aug 2011|@KieranStrange wat you do as per tym other dan singing 
9:35 AM - 21 Aug 2011|There are so many potholes that even cars go in speed of cycle 
8:13 PM - 20 Aug 2011|@KieranStrange Hi dear 
12:38 PM - 20 Aug 2011|@ninadobrev Great are you a fan of india dat you wrote namaste in ur info 
7:57 PM - 19 Aug 2011|@KieranStrange hi dear 
9:37 AM - 16 Aug 2011|@ninadobrev please follow me 
8:07 AM - 14 Aug 2011|@fucktheburrito @barbareasy @JimmyMcGorman I hate gays 
8:21 AM - 13 Aug 2011|@KieranStrange Coz you are strange 
5:39 AM - 13 Aug 2011|Coming Up This Season On The Vampire Diaries http bit ly nnuX41 
12:40 AM - 12 Aug 2011|@KieranStrange wats d latest news 
10:40 AM - 7 Aug 2011|@KieranStrange happy friendship day sweet heart 
1:19 PM - 31 Jul 2011|@EshaanGhosh welcome better dan twilight 
10:50 AM - 30 Jul 2011|@EshaanGhosh thanx 
1:20 PM - 24 Jul 2011|@iansomerhalder eagerly waiting for vampire diaries season 3 to arrive 
2:58 AM - 17 Jul 2011|Missing my heart 
11:28 AM - 14 Jul 2011|I love twitter 
1:35 AM - 14 Jul 2011|Listen to Avril Lavigne's Interview with Los 40 Principales in Argentina http bit ly pP81MO 
9:59 PM - 13 Jul 2011|@BrookelynTELLEM if u r readng dis then cn u please follow me back 
9:54 PM - 13 Jul 2011|@BrookelynTELLEM hi brooke 
8:24 PM - 13 Jul 2011|@AvrilLavigne as uswal awesome 
10:33 AM - 12 Jul 2011|#iloveagirl named @BrookelynTELLEM 
4:24 AM - 12 Jul 2011|@MillaJovovich c is pretty lady 
4:23 AM - 12 Jul 2011|Lyf sumtym start sucking 
9:25 AM - 11 Jul 2011|@BrookelynTELLEM love ur writings 
2:05 AM - 9 Jul 2011|Google is gud 
12:58 AM - 9 Jul 2011|#GOOGLE really cool 
10:45 PM - 6 Jul 2011|betrayals have taught me to trust myself the most 
10:52 PM - 6 Jul 2011|Don't ever try to make others happy You would end up with nothing make yourself happy but not at the cost of others thats wat happiness is 
12:42 PM - 5 Jul 2011|Damon We have a problem Stefan And when I say problem I mean global crisis 
3:27 AM - 1 Jul 2011|@Eshaanghosh not like twilight its far better dan it far more interesting 
2:59 AM - 1 Jul 2011|@Eshaanghosh hope u loving the vampire diaries 
2:58 AM - 1 Jul 2011|@Eshaanghosh welcome 
12:51 AM - 29 Jun 2011|YAY NEW ICON 3 
2:19 PM - 28 Jun 2011|@BrookelynTELLEM hi freaky little frd 
1:08 PM - 28 Jun 2011|Watch our video for Iridescent in 3D after the @TF3Movie credits See the growing list of theaters showing it here http bit ly kAVXHG 
1:07 PM - 28 Jun 2011|@BrookelynTELLEM i always text u but its rarer of the rarest dat u tweet me 
4:54 AM - 28 Jun 2011|@SkylarGrey's Debut Album Explains 'How I Became Invincible' @BillboardMag http bit ly kjxQGd 
10:25 AM - 28 Jun 2011|Google launched today looks a lot like Facebook but emphasizes privacy @clairecm reports http nyti ms jcmiyh 
10:29 AM - 28 Jun 2011|@ninadobrev i love u correction i love ur character P 
6:45 AM - 28 Jun 2011|Taking my niece to Disneyland today 
9:53 AM - 28 Jun 2011|this is cool These animals like trees and rivers are worth more alive than dead Pass it on it's worth it http wwf panda org 200728 Arrests-made-in-Uganda-mountain-gorilla-death 
3:44 AM - 28 Jun 2011|@AvrilLavigne should be Miss Universe D 
10:31 PM - 27 Jun 2011|When twitter automatically upgrades me to new twitter ima be pissed 
10:53 PM - 27 Jun 2011|@BrookelynTELLEM gud night beatiful 
7:20 PM - 27 Jun 2011|Most viewed video of the day Why-Avril Lavigne Lyrics http bit ly 6Kn7H Pls ReTweet 
1:14 PM - 27 Jun 2011|@Eshaanghosh its launched 
8:28 AM - 27 Jun 2011|@BrookelynTELLEM hiiiiiiii dear 
9:40 PM - 24 Jun 2011|Woke up at 10 at mrg Aint dat too early 
8:47 AM - 22 Jun 2011|@BrookelynTELLEM hiiipeeeeee 
